child_id,fname,lname,age,family_size,num_of_siblings,parents_working_hours,household_income,access_to_technology,number_of_devices,environment_type,school_type
3597,Bethany,Richmond,12,2,0,57.50,26075.08,1,4,Urban,private 
3598,Allison,Petersen,11,5,3,46.90,49214.26,1,2,Suburban,Private
3599,Kaitlyn,Ramirez,12,2,0,30.80,14270.5,1,2,city,Private
3600,Charlotte,Lindsey,999,4,2,44.90,,1,2,  URBAN  ,Private
3601,,Aguirre,13,3,1,41.40,43323.9,1,1,Rural,public
3602,ryan,Wilkins,14,2,0,28.20,"$13,527",0,0,  Rural  ,Public
3603,JOANNA,Medina,14,3,1,21.80,15644.96,,,Urban,Home School
3604,Omar,Unknown,12,3,1,46.70,,1,1,RURAL,Public
3605,Angela,Lindsey,14,2,0,31.00,51286.72,1,8,Suburban,Priv
3606,edgar,Rodriguez,14,4,2,41.20,,0,0,rural,Public
3607,Tyler,Gibson,18,6,4,62.80,,1,2,Rural,Gov
3608,kevin,Welch,15,3,1,45.90,9228.31,0,0,suburban,Homeschool
3609,Tammie,Hogan,10,6,4,43.40,22974.46,1,3,URBAN,Public
3610,Dennis,Mercado,7,7,5,61.70,51454.83,1,6,City,  Priv  
3611,Megan,Hooper,10,3,1,,,0,0,Suburban,Public
3612,Melvin,Gillespie,9,4,2,59.10,,1,1,Urban,Public
3613,,Choi,12,8,5,33.30,,1,3,Suburb,Public
3614,Travis,Downs,8,2,0,30.80,21261.97,0,,Urban,  PUB  
3615,Ian,Patton,15,5,3,26.10,26123.55,1,1,Rural,Public
3616,Zachary,Foster,5,4,2,51.10,21139.06,0,0,NULL,Public
3617,Nicole,Bowers,5,3,0,57.20,40746.19,1,4,urban,Public
3618,Craig,Powers,10,2,0,15.20,"25994,43",1,3,Suburban,PUB
3619,Ashlee,Arellano,7,2,0,53.00,18198.17,1,1,Suburban,PUB
3620,Unknown,Newman,6,2,0,44.50,16697.25,0,5,Suburban,PUBLIC
3621,Casey,Hooper,8,4,2,33.30,21758.95,1,2,Rural,PUB
3622,Joe,Gillespie,8,6,4,58.40,approx 61.3k,1,2,Suburban,Priv
3623,Guy,Payne,11,5,3,,"17,722.60",1,1,Urban,Public
3624,Chase,  Andersen   ,8,5,3,,,0,,Urban,Public
3625,Wesley,Perkins,9,2,0,28.00,,,,Suburban,Public
3626,Aaron,Grant,10,3,1,34.90,46973.57,1,2,Urban,Gov
3627,Derrick,Banks,14,4,2,41.80,25004.76,1,1,SUB,Private
3628,Glen,Frazier,16,3,0,41.10,34733.79,0,0,Sub-urban,PUB
3629,Elizabeth,Schwartz,11,3,1,38.90,22485.31,0,0,Urban, Gov 
3630,Elizabeth,Logan,11,6,4,,41774.01,1,2,city,Public
3631,Kent,Moon,10,4,2,46.60,25382.13,1,1,Urban,PVT
3632,Marilyn,Kent,12,6,4,31.00,"12711,86",0,0,Urban, Public 
3633,Arthur,Weber,12,5,2,46.00,42514.23,1,3,SUB, INTERNATIONAL 
3634,Claudia,Soto,15,7,5,64.30,29146.09,0,0,URB,Governmental
3635,Jon,Sherman,4,7,5,33.80,21575.97,0,0,Suburban,Public
3636,Jonathan,Schmidt,10,2,0,26.30,,1,2,  Rural  ,Public
3637,Kathy,May,12,3,1,35.90,11564.65,0,0, Suburb ,PUBLIC
3638,Ellen,Hardin,10,2,0,36.40,32431.9,1,5,Suburban,  Private  
3639,CURTIS,Cowan,7,9,7,41.50,12361.03,1,2,Rural,Governmental
3640,Brittany,Parsons,6,4,2,41.90,27286.36,1,3,Urban,public
3641,Renee,Snyder,13,3,1,51.50,55637.44,1,3,URB,Private
3642,Candice,Beltran,8,6,4,,42328.13,1,1,City,International
3643,jean,TODD,4,4,2,36.50,26983.75,1,2,urban,Private
3644,Jared,Thompson,14,3,1,42.00,28125 EGP,1,3, Urban , Public 
3645,Emily,Johnston,12,6,4,,,0,0,Suburban,  public  
3646,Colleen,Watson,10,7,5,50.00,18919.71,1,,  City  ,Public
3647,Denise,Strickland,7,2,0,75.10,32595.19,1,1,Urban,Int.
3648,Shane,Montgomery,10,2,0,37.70,19530.04,0,0,Urban, PUB 
3649,Robin,Matthews,15,5,2,55.30,14335.04,0,0,city,Public
3650,Darlene,Roy,5,5,3,57.40,,1,2,Sub-urban, Private 
3651,,Zavala,5,2,0,51.20,60994.83,1,6,Urban,PUBLIC
3652,Anna,Rogers,8,4,2,24.50,19994.88,0,0,Urban, Public 
3653,Kristy,Mccarty,10,4,2,30.50,48110.5,1,6,Urban,Private
3654,Veronica,Hooper,9,5,3,30.90,38125.67,0,0,suburban,Private
3655,Jasmine,Pratt,13,2,0,23.60,17374.35,1,,URBAN,  Public  
3656,Brian,Rose,14,2,0,,17150.32,1,2,Suburban,Public
3657,Sophia,Frost,12,4,2,32.30,approx 69.0k,1,4,Suburban,International
3658,Billy,Huffman,13,7,5,,13844.42,1,1,  Suburban  ,Private
3659,Donna,Bradley,11,5,3,58.90,21269.7,1,2,city,  Governmental  
3660,Bryan,Haas,11,2,0,34.60,,1,5,Suburban,Private
3661,Nicole,Aguilar,6,8,6,36.00,21744.63,1,,Urban,public
3662,Levi,Webb,7,2,0,42.70,53860.09,1,2,SUBURBAN,PVT
3663,Dean,Oliver,6,6,4,32.20,14587.07,1,1,Suburban,Gov
3664,Kent,Hancock,10,2,0,39.10,32081.9,1,3,Urban,Public
3665,  Corey   ,Weaver,11,4,2,53.70,54027.92,1,,Urban,Governmental
3666,Allen,Duarte,5,4,2,33.10,19789.24,1,1,Suburb,  Governmental  
3667,Kendra,Sawyer,11,2,0,33.70,,1,8,SUBURBAN,Private
3668,Derrick,Atkins,7,5,3,48.80,44776.55,1,1,Urban,Public
3669,Nicole,Barton,7,2,0,45.60,15582.5,0,0,SUB,Public
3670,Kaitlin,Shah,8,5,3,52.50,,1,1,City,  private   
3671,Maureen,,6,5,3,35.80,30355.97,1,1,Rural, Public 
3672,Unknown,Rios,13,9,7,22.40,14093.86,,,RUR,Public
3673,Roger,Hall,10,5,3,25.50,26130.21,1,1,Urban,public
3674,Darin,Charles,13,2,0,38.00,85088.44,1,6,city,International
3675,Fred,Rowe,9,5,3,47.30,24461.41,1,2,n/a,PUB
3676,Caitlin,Jacobs,9,7,5,47.40,19738.23,1,,SUB,home-school
3677,Jenna,Unknown,17,5,3,48.40,55848.11,0,0,URBAN,Private
3679,Erik,Atkinson,15,3,1,33.30,24511.98,0,0,Suburban,Governmental
3680,Peggy,,16,2,0,31.90,31141.22,1,3,Urban,Public
3681,Harry,Gray,13,3,1,38.90,20190.3,1,,Urban,  Public  
3682,Holly,Cortez,9,4,2,38.20,10817.5,0,0,SUB,Public
3683,Anita,Mcpherson,16,5,3,43.50,26582.42,0,0, SUB ,Public
3684,,Downs,9,5,3,38.60,,1,1,Suburb,private 
3685,Raymond,,8,3,1,37.70,20465.98,1,2,Urban,Public
3686,Tammy,,9,7,5,40.30,,,,suburban,homeschool
3687,Claudia,Harrison,8,2,0,46.60,51064.5,1,3,Suburban, Private 
3688,Joseph,Cherry,7,5,3,40.10,39754.18,1,4,Urban,Public
3689,Gabriella,Kemp,14,2,0,38.60,14058.86,1,1,Rural,Private
3690,JIMMY,VAUGHN,8,5,3,65.20,49338.99,1,4,Urban,public
3691,Dana,Webb,10,3,1,27.90,33960.62,1,1,Urban,Public
3692,Eileen,Vargas,5,5,3,,approx 45.9k,1,4,Rural,Private
3693,Krystal,Wilkins,11,5,3,46.40,42842.81,1,2,  Urban  ,Public
3694,Ryan,Drake,6,6,4,32.70,7987.03,,, Rural ,Public
3695,Jonathan,Wood,6,2,0,40.20,20695.95,1,2,URBAN,Public
3696,Alicia,Bush,10,3,0,25.60,21247.66,1,3,City,Public
3697,Sean,,14,3,1,29.70,35251.31,1,,Urban,Private
3698,Adrian,Foley,12,7,5,41.00,"25161,77",0,0,URBAN,Private
3699,David,Arroyo,12,6,4,57.20,9227.95,0,0,rural,NA
3700,Danielle,Mahoney,10,3,1,32.00,23718.89,1,1,  Rural  ,Priv
3701,Barry,Burns,9,6,4,43.60,44358.71,1,2,Suburban,public
3702,Sonya,King,13,7,5,52.40,28099.19,0,3,Urban,Private
3703,Walter,Dominguez,8,9,6,31.20,33362.98,0,0,URBAN,Private
3704,Katrina,Pace,14,2,0,33.70,17463.07,0,0,Urban,  PUBLIC  
3705,Grant,Strickland,15,3,1,40.20,22305.85,0,0, city ,  Public  
3706,Jamie,Sharp,7,6,4,38.10,22813.37,1,5,urban,Public
3707,Robert,  Davidson   ,8,2,0,53.20,40425.76,1,1,city,Public
3708,Cameron,Horton,9,5,3,60.40,34228.52,1,-4,urban,Private
3709,Bethany,Valentine,5,4,1,29.90,"21,347.06",0,0,SUBURBAN,Public
3710,Michaela,Galvan,9,4,2,38.50,24266.2,1,,Urban,Public
3711,Rose,Montgomery,15,2,0,,,,,Urban,public
3712,Barbara,Contreras,7,3,1,71.60,71914.34,1,4,Urban,Private
3713,Sheena,Wallace,15,6,4,46.80,8127.47,,,Suburban,Governmental
3714,Danielle,Miles,9,2,0,43.70,32274.55,1,,  Suburban  ,  Homeschool  
3715,Leonard,Mays,18,2,0,52.70,30355.72,0,0, Urban ,private
3716,Jackson,Hood,8,4,2,37.20,14822.1,,,  RURAL  ,International
3717,Sylvia,Preston,10,3,1,,25476.05,1,2,Suburban,  Governmental  
3718,Jeff,Berry,7,4,2,39.90,20647.7,1,,Urban, PUBLIC 
3719,,,8,7,5,40.80,42576.11,1,2,Urban,Private
3720,  Marilyn   ,Blanchard,15,8,6,40.90,8329.32,0,0,Rural,PUB
3721,Ricky,Young,12,2,0,38.40,35607.02,1,3,Urban,PRIVATE
3722,Natasha,Sparks,25,4,1,,"20480,53",1,1,Urban,PUBLIC
3723,Isaac,Moses,6,2,0,55.10,20235.42,0,0,Suburban,Gov
3724,Barry,Rose,13,8,6,45.10,23862.21,1,,Urban,PUB
3725,Maureen,Harding,7,4,2,48.30,23366.4,1,5,Suburban,Public
3726,Xavier,Park,6,7,4,47.10,33731.4,1,4,suburban,Public
3727,Dalton,Austin,11,8,6,27.60,25092.2,1,,Suburban,Public
3728,Katherine,Unknown,11,3,1,54.10,42750.61,1,1,suburban,Private
3729,Kelli,Spears,11,6,4,26.30,45464.78,1,4,Suburban,PVT
3730,Tiffany,Salas,13,2,0,57.10,35235.96,1,6,  Urban  ,unknown
3731,Unknown,Meadows,14,8,6,39.70,approx 25.0k,1,1,RUR,Home School
3732,Sherri,Christian,16,4,2,,90554.93,1,5,URB,NA
3733,Victor,Cannon,6,3,1,39.10,13666.04,,,URB,PUB
3734,,Waller,16,4,2,53.40,31004.11,1,5,countryside,Public
3735,Madeline,Rowe,17,5,3,,40121.41,1,6,Rural,?
3736,Anthony,Stuart,9,4,2,55.60,32484.52,0,0,SUBURBAN,Public
3737,Andre,Dougherty,4,7,5,39.50,72927.8,1,,SUB,Private
3738,Claudia,Miller,6,3,1,37.50,78870.73,1,1,Urban,Private
3739,Sandra,Hendrix,9,7,4,37.80,21261.03,1,1,Suburban,  public  
3740,Daniel,Castillo,18,2,0,40.90,,0,0,Urban,  Public  
3741,Denise,Ryan,11,5,3,44.20,39808.43,1,5,Urban,International
3742,Shelly,Glenn,8,2,0,25.60,21093.86,1,4,city,Gov
3743,Bailey,Hardin,8,7,5,48.10,76204.17,1,4,Village,Private
3744,Raymond,Campbell,6,4,2,49.30,"26,472.44",1,1,RURAL,  public  
3745,Gary,Roberson,14,4,2,35.00,17598.98,1,1,Rural, homeschool 
3746,Brittany,Roy,10,2,0,38.20,,0,0,Suburban,Public
3747,Arthur,,18,7,5,55.80,34151.28,1,3,Urban,  private   
3748,Sheena,Wilcox,13,5,3,,,1,4,  city  ,Public
3750,Erika,Russell,10,4,2,,7508.51,0,0,Urban,Governmental
3751,Brian,Bates,7,2,0,32.70,54778.26,1,10,SUBURBAN,Private
3752,Amanda,Herring,7,4,2,60.30,23546.21,1,2,city,Private
3753,Kathleen,Hardy,6,8,5,26.70,6765.24,0,0,Rural,Public
3754,Glen,Mcintosh,14,3,1,,29465.79,1,5,Urban,International
3755,Jacob,Conway,9,2,0,,30009.0,1,2,Urban,PUBLIC
3756,  Reginald   ,Charles,14,4,2,38.60,24701.65,1,4,Suburban,Public
3757,Angelica,Cain,99,5,3,50.60,54658 EGP,1,5,  Suburban  ,International
3758,Catherine,Martinez,9,4,2,51.80,36661.54,1,3,city,Public
3759,Brittney,Ford,6,3,1,,39650.1,1,1,Suburban, private  
3760,Katie,Delgado,12,9,7,39.20,22319.16,1,2,Suburban,Public
3761,Amy,Black,10,6,4,,37603.39,1,5,Urban,Public
3762,Jennifer,Schmidt,14,2,0,41.50,,,,City,Public
3763,Lucas,campos,8,4,2,22.60,19770.7,1,2,Rural,Home School
3764,April,Malone,13,2,0,37.90,19594.13,0,0,URB,Private
3765,Micheal,Terrell,16,6,4,35.60,61439.0,1,6, Urban ,Intl
3766,Jim,Pearson,11,4,2,31.40,30993.35,1,,urban,Priv
3767,Paul,Horne,13,5,3,43.90,36848.77,1,2,Suburban,Private
3768,Nicholas,Baker,13,4,2,,19816.64,1,1,countryside,PUBLIC
3769,Linda,Hughes,17,6,4,54.10,80295.26,1,8,Urban,PVT
3770,Jesse,Frank,12,9,6,42.30,,0,0, Rural ,PUB
3771,Kathy,Roman,13,6,4,,16113.48,1,1,Rural,Public
3772,Bonnie,Stevens,10,7,5,51.10,17534.96,,,Urban,Public
3773,Zachary,Cohen,8,6,4,35.50,,,,SUB, PUB 
3774,Janice,Navarro,6,2,0,41.80,9761.82,0,0, Rural ,PUBLIC
3775,Darren,Randolph,15,2,0,54.00,32683.3,1,2,Rural,Private
3776,Melvin,Peterson,7,4,2,28.80,25169.89,0,0,Suburban,Private
3777,Deanna,Santiago,13,5,3,42.50,26347.43,1,3,Urban,Gov
3778,April,Leonard,12,3,1,,45498.09,0,,URBAN,Public
3779,Brittney,Haynes,14,7,5,44.40,,1,3,Urban,Public
3780,Charlotte,Cummings,9,4,2,61.70,35858.4,1,,Suburban,Public
3781,Frank,,8,2,0,34.70,35509.81,0,0,Urban,Public
3782,,Gallegos,12,3,1,44.00,34492 EGP,1,2,Sub-urban,private
3783,Bill,Rodriguez,9,5,3,40.40,19983.7,1,2,Suburban,Public
3784,  Johnny   ,Lee,25,4,2,64.70,,1,3,urban,private 
3785,Anita,Holden,17,7,5,41.10,8807.22,0,,  countryside  ,  Governmental  
3786,Unknown,Ellis,8,5,3,42.90,28359.32,1,1,Urban,International
3787,LORRAINE,Lucas,7,5,3,69.80,54355.81,1,3,  Urban  ,Private
3788,Brad,Perez,10,5,3,51.00,approx 23.5k,1,1,Sub-urban, Private 
3789,Thomas,Bell,15,5,3,,23459.49,0,,Urban,Public
3790,Kelsey,Kirby,3,6,4,48.90,104677.81,1,4,URBAN,Private
3791,Unknown,Roberson,15,5,3,53.70,37429.91,1,3,Rural,  Public  
3792,Lynn,Coleman,7,9,7,31.40,18543.94,0,0,Rural,PUB
3794,,Mcclain,8,10,8,50.90,"$9,708",0,0,Urban,Governmental
3795,Christie,Guerra,18,2,0,51.70,43904.14,1,2,Urban, International 
3796,Riley,Sims,11,4,2,40.60,59648.7,1,3,URB,Private
3797,Joanna,Holt,8,2,0,40.70,36963.04,0,0,urban,Governmental
3798,Darin,Porter,9,2,0,42.20,,0,0,rural,Public
3799,Sara,Gibson,11,6,4,48.20,32473.37,1,5,URBAN, Public 
3800,Carolyn,Salazar,11,2,0,67.60,,1,4,Suburban, Gov 
3801,Janet,Miller,12,3,1,35.00,,1,4,Urban,International
3802,Joanna,Dawson,10,6,4,55.20,74524.65,1,6,SUBURBAN,Private
3803,Marissa,,6,6,4,42.70,45897.73,1,4,City,Private
3804,Marvin,Bridges,9,3,1,19.00,40816.47,1,,Urban,
3805,Wanda,Crawford,13,2,0,,29000.27,1,1,Urban,PUBLIC
3806,Stacy,Herring,8,9,6,38.80,21546.34,1,1,RURAL,Public
3807,Dustin,Bauer,13,2,0,,,1,,Suburban,Gov
3808,Whitney,Peterson,11,5,3,53.30,34724.98,1,2,Suburban,Private
3809,Rebecca,Larson,25,8,6,51.60,26732.82,1,4,Urban, Private 
3810,Marcus,Andrews,15,5,2,36.10,"$16,281",1,3,Suburban,Public
3811,Dustin,Conway,4,6,4,38.90,40064.7,1,1,Sub-urban,Gov
3812,Collin,Baker,8,4,2,60.10,,,,urban,Unknown
3813,Erin,shaw,15,3,1,45.10,18967.01,0,0,Suburban,Public
3814,Meghan,Hubbard,17,4,2,65.30,,1,4,Rural,PUB
3815,Tricia,Boyer,18,2,0,44.50,33641.7,1,2,Rural,Private
3816,Christian,Simon,11,4,1,47.00,22235.31,1,,Rural,home-school
3817,Malik,Cannon,12,3,1,47.60,17682.88,1,3,SUB,NULL
3818,Clayton,Mccormick,13,4,2,56.20,,0,0,city,Governmental
3819,Lance,,15,5,3,19.60,34898.57,1,5,NA,Intl
3820,Loretta,Logan,12,5,2,43.80,70143.18,1,2,urban,Priv
3821,  Tanya   ,Le,14,3,1,52.80,49332.03,1,7,Urban,PUB
3822,Grant,Rojas,12,2,0,63.40,approx 49.5k,0,4, city ,Private
3823,,Duke,12,2,0,53.30,,1,,Sub-urban,Public
3824,Nathan,Cortez,7,4,2,35.30,,0,0,Sub-urban,Public
3825,Jennifer,Burke,9,5,2,43.70,11809.71,0,0,Suburban, private  
3826,Louis,Porter,9,4,2,,14534.84,,,rural,Public
3827,Tiffany,Harrison,6,2,0,48.60,43681.8,1,2,City,Public
3828,Mitchell,Wallace,5,6,4,40.00,22560.65,0,,URBAN,Public
3829,Paige,BENITEZ,9,6,4,53.40,35055.79,1,3,Suburban,Priv
3830,Alec,Nguyen,10,2,0,38.90,,0,0, Suburban ,Public
3831,Virginia,Cohen,11,5,3,44.30,17993.55,1,1,Suburban, Public 
3832,Tom,Bridges,13,11,9,,37212.7,0,0,RURAL,PUB
3833,Janet,Nicholson,11,4,2,40.10,45332.51,1,5,URB,  Private  
3834,Derek,Lamb,10,5,2,36.10,21621.23,1,,Suburban,Public
3835,Kurt,  Parker   ,7,3,1,59.60,10863.86,1,2,Rural,unknown
3836,Megan,,14,6,3,34.90,50106.36,1,,urban,Public
3837,Jared,Roberts,10,2,0,34.80,41442.12,1,1,Suburban,Homeschool
3838,Shawn,Finley,9,6,4,47.20,42258.4,0,0,Urban,Private
3839,Henry,Trevino,10,5,3,33.40,26962.29,1,5,City,Priv
3840,Mason,Sherman,8,2,0,,16284.59,1,5,  urban  ,Public
3841,Katrina,,9,5,3,46.20,25383.13,0,0,Suburb,Public
3842,Reginald,Stephens,8,3,1,55.70,55502.31,1,3,Suburban,Public
3843,Makayla,Medina,9,6,4,51.10,,0,0, Rural ,public
3844,Jade,Carter,13,2,0,47.90,26267.81,0,0,suburban,PUBLIC
3845,Jackie,Roman,12,2,0,,73107.46,1,5,Urban,Private
3846,Stephen,Ball,16,5,3,,,1,1,?,Homeschool
3847,Kim,Roberts,15,8,6,43.30,27719.32,1,2, Urban ,Homeschool
3848,Alexander,Chang,18,2,0,,,0,0,  Sub-urban  ,  Private  
3849,Craig,Watts,13,6,4,49.40,41888.24,0,0,Urban,Public
3850,Judith,Elliott,12,5,3,55.70,,1,1,Suburban,Public
3851,Olivia,Gregory,9,2,0,22.00,,,,Rural,  Governmental  
3852,Annette,Kelly,13,4,2,19.60,17598.04,1,2,City,Public
3853,Leah,,8,8,6,35.80,28699.8,1,1,SUB,Public
3854,Sue,Rose,5,5,3,47.20,10731.54,0,0, Suburban ,Public
3855,Jeffrey,Cruz,16,3,0,41.80,13874.41,0,-4,Urban,Public
3856,Sierra,Delacruz,6,3,1,39.20,"40441,28",1,2,Urban,Public
3857,Michele,Duarte,12,4,2,45.10,24592.3,0,,Suburban,Public
3858,Frank,Gibson,7,2,0,24.50,17985.22,,,city, Public 
3859,Timothy,Paul,15,7,5,44.70,24916.94,1,,city,  Public  
3860,Elaine,Escobar,15,5,3,40.30,,1,5,suburban,International
3861,pamela,knight,12,4,2,55.70,51790.0,1,2, SUBURBAN ,PUBLIC
3862,Jose,Kelly,15,6,4,27.60,28026.66,0,0,Urban,Public
3863,Cory,Norman,11,8,6,44.00,26873.62,1,1, Rural ,Homeschool
3864,Cesar,Downs,18,3,1,37.60,18334.72,,, Rural ,  Homeschool  
3865,Gregg,Martin,13,6,4,46.80,6465.23,,,RURAL,PUB
3866,Stacey,Jennings,7,4,2,28.40,"8740,86",0,3,Suburban,Public
3867,Meghan,Murphy,11,8,6,18.70,18031.35,1,2,  Urban  ,Public
3868,Bobby,Stevens,10,6,4,45.60,,,,  Urban  ,Public
3869,Kristi,Le,10,8,6,27.40,19917.65,0,0,Rural,home-school
3870,Dennis,Unknown,5,7,5,37.30,,1,1,rural, Governmental 
3871,Mercedes,Roberts,12,5,3,,32335.82,1,,Suburban,Gov
3872,Jennifer,Fox,6,2,0,19.10,32610.28,1,,Suburb,Gov
3873,Melvin,Hawkins,3,5,3,33.00,43456.47,0,0,Urban,private 
3874,Tom,perkins,9,7,5,51.60,,1,7,Sub-urban, PUBLIC 
3875,Katie,Gaines,8,5,3,,39482.76,1,1,city,Public
3876,Holly,Schneider,7,2,0,,,0,,Suburban,Gov
3877,Harry,Shaffer,3,4,1,32.70,37844.35,1,3,Suburban,Private
3878,Gail,Marsh,7,6,4,75.10,50134.26,1,,Suburban,  Public  
3879,Claudia,Ingram,10,2,0,49.10,44255.48,1,4,Urban,Public
3880,Jerry,Duran,8,3,1,51.40,23216.24,0,0,Suburban,  Public  
3881,Pamela,Gillespie,12,4,2,37.90,40608.09,1,4,urban,Public
3882,Ebony,Carlson,16,8,6,26.90,,0,0,Urban,Public
3883,Shelby,Murphy,12,3,1,49.50,,1,1,Urban,PUB
3884,johnny,Charles,14,4,2,42.50,38435.54,1,2,  Urban  ,PUB
3885,Hannah,Buckley,14,3,0,49.70,61038.12,1,5,  Urban  , Priv 
3886,Justin,Jenkins,7,5,3,37.60,15103.82,1,4,URBAN,Public
3887,Sydney,French,12,7,5,59.30,29981.97,1,3,URBAN,Public
3888,Ryan,Gillespie,14,8,6,42.40,"37849,57",1,4,Urban,  Private  
3889,Sheryl,Fletcher,9,3,1,,18251.39,,,suburban,Private
3890,Unknown,Morse,8,5,3,43.10,21233.59,0,0,Suburban,Public
3891,Katherine,navarro,12,3,1,29.00,41659.46,1,6,Urban,Int.
3892,Chase,Eaton,5,5,3,34.30,31555.48,0,,Urban,Private
3893,Sierra,Ruiz,45,2,0,,31631.43,0,6, city ,Public
3894,Erik,Chang,8,4,2,35.60,17322.06,0,0,Urban, Public 
3895,Jane,Preston,12,5,3,,25156.41,1,,Suburban,PUB
3896,Adrienne,Everett,11,3,1,,,1,1,Rural,Public
3897,Chelsea,Lynn,14,10,8,38.60,,0,0,City,Private
3898,Jon,Harrison,7,5,3,65.40,22075.59,1,1,Urban,homeschool
3899,Kim,Valdez,7,5,3,40.40,29290 EGP,1,2,URBAN,  Gov  
3900,Joyce,Donovan,12,2,0,33.90,18443.13,0,0,Urban,Public
3901,heather,Wells,8,6,4,57.00,17268.67,,,Rural,  Public  
3902,Walter,  Bird   ,8,4,2,44.40,20936.15,0,0,Suburban,Homeschool
3903,Alyssa,Mooney,4,2,0,,15326.65,1,2,Suburban,Public
3904,Lawrence,Monroe,12,7,5,21.20,5873.9,0,0,RURAL,Public
3905,,Arnold,16,4,2,,43092.59,1,, SUB ,Homeschool
3906,Xavier,  Tate   ,7,4,2,16.40,44822.72,1,3,urban,Private
3907,Sharon,,14,6,4,23.80,16437.66,1,1,Suburban,PUB
3908,April,Adams,10,7,5,,37231.76,1,4,Suburban,Public
3909,  Felicia   ,Boyd,4,5,3,45.90,,1,2,Urban,  PUBLIC  
3910,Kelsey,Eaton,7,2,0,39.00,21613.62,1,1,Suburb,private
3911,Lauren,Bolton,7,2,0,36.90,19117.25,1,1,Suburb,Private
3912,,Reeves,9,3,0,27.70,25522.74,0,0,Urban,public
3913,Ebony,Mejia,12,5,3,53.80,approx 36.5k,1,1,suburban,Priv
3914,Gina,Wallace,17,3,1,49.40,23836.4,1,2,Urban,Public
3915,Joy,Johnson,5,4,2,24.20,24666.43,1,3,Urban,HS
3916,Dana,Estrada,9,3,1,41.00,,1,,Urban,Private
3917,Duane,Rhodes,7,4,2,33.30,26474.56,0,0, SUBURBAN ,Public
3918,Latasha,Vega,6,2,0,57.40,,1,,Rural,Public
3919,Erika,Christensen,11,3,1,45.20,29212.53,1,2,SUBURBAN,Public
3920,Tim,Haney,11,6,4,,44177.2,1,3,suburban,International
3921,Cristina,  Wilson   ,4,3,1,48.40,53143.66,1,3,-,Private
3922,Brianna,Kelly,11,3,1,40.20,,,,Suburban,Public
3923,Monique,Ramsey,6,6,4,42.00,,0,0,  URBAN  ,Public
3924,Terrance,Haney,11,5,3,22.50,51508.2,1,7,Urban,Private
3925,Marissa,Meadows,15,4,2,41.20,21847.99,1,4,Suburban,Gov
3926,Jade,Robertson,12,2,0,68.50,,,,urban,Public
3927,Jeff,Hogan,11,12,10,27.10,,,,Rural,PUB
3928,Ana,Byrd,9,11,9,51.80,23354.08,0,0,Urban,Public
3929,Joy,Duncan,11,2,0,47.80,"21,549.05",1,2,Suburban,PUBLIC
3930,Xavier,Pena,13,4,2,44.10,45284.07,1,1,city,international
3931,Derek,Bautista,12,4,2,,,,, Suburban ,PRIVATE
3932,Dylan,Mccullough,10,3,1,50.80,"42810,68",1,6,Sub-urban,Priv
3933,Dennis,Dalton,11,4,2,39.50,34781 EGP,1,2,Urban,Public
3934,Sue,Stewart,6,2,0,34.90,8454.06,,,Rural,  Public  
3935,Sherri,Gutierrez,8,4,2,45.90,21467.37,1,3,Suburban,private 
3936,Mia,Petty,13,2,0,33.90,39029.26,1,2, Urban ,Private
3937,Luis,Wilkins,14,2,0,38.10,26154.05,1,6,Suburban, Gov 
3938,Sandra,Molina,11,3,1,,36623.13,1,2,Urban,Public
3939,Nathaniel,Tyler,16,2,0,39.90,"18,525.83",1,,  Suburban  ,Public
3940,Gene,Lutz,12,2,0,24.40,40340.95,1,6,Urban,Private
3941,Keith,Silva,10,8,6,45.20,20554.72,1,,Suburban, HOMESCHOOL 
3942,Renee,Vincent,0,6,4,,120618.88,1,8,unknown,Private
3943,Steven,Ramirez,16,4,2,45.60,12385.74,0,0,Suburban,  PUBLIC  
3944,Mia,White,13,6,4,45.70,75650.02,1,6,RUR,International
3945,Glenn,Williamson,17,8,5,26.50,,,,Rural,public
3946,Felicia,Buckley,18,4,2,32.40,51491.58,1,7,Suburban,Gov
3947,,Roberts,6,2,0,40.20,40339.74,1,1,Suburban,public
3948,Jackson,Jackson,6,4,2,47.30,15517.74,0,0,Suburb,PUB
3949,Elaine,Smith,3,6,4,36.90,41345.1,1,5,URBAN,Governmental
3950,Guy,Rodriguez,14,3,1,60.40,19483.14,1,1,SUBURBAN,PVT
3951,Meghan,MCLAUGHLIN,13,10,8,36.40,29767.35,1,2,SUB,Private
3952,Bethany,Lynch,11,2,0,58.70,32251.73,1,5,?,Private
3953,Richard,Cordova,6,4,1,,21117.97,1,3,  Suburban  ,Public
3954,Nathaniel,Brewer,10,5,3,,23439.16,1,3,Urban,Public
3955,Leonard,Reynolds,11,3,1,30.20,"30868,14",1,5, Suburban ,Private
3956,Derrick,Shah,13,3,1,45.70,18086.08,1,1,Urban,Public
3957,Omar,Santiago,11,3,1,35.80,,0,0, Rural ,Gov
3958,Tiffany,garrison,13,7,5,37.50,50273.68,1,1,City,Public
3959,Johnathan,Meadows,10,2,0,44.70,37632.09,1,1,city,Governmental
3960,Gregg,Richmond,15,3,1,40.70,,0,6,Sub-urban,Public
3961,Wanda,Mcguire,13,3,1,30.10,17123.31,1,6,Urban,  Gov  
